,name,star,rating,platforms,n_ratings,genres,content,img
19,被遗忘的勇士 Forgotten Warrior,45,8.3,Android,12,游戏 / 角色扮演 / 冒险 / 动作,童年的回忆,https://img9.doubanio.com/lpic/s33977435.jpg
0,银河战士Prime三部曲 Metroid Prime Trilogy,45,8.3,Wii,21,游戏 / 第一人称射击 / 角色扮演 / 冒险 / 动作,神作,https://img9.doubanio.com/lpic/s28416135.jpg
1,问题行星 Questionaut,45,8.2,,25,游戏 / 冒险,01.就是答问题，虽然画面比早期好多了，可好无聊。在语法类答错了好多。。为BBC开发的教育类游戏，“Questions by BBC”。02.网上有误传此为银河历险记3。03.玩了几部Amanita的作品，发现基本都是Tomáš Dvořák做的配乐。,https://img3.doubanio.com/lpic/s27172910.jpg
2,新世界海盗 Tortuga.Pirate.Hunter,45,8.2,PC,16,游戏 / 即时战略 / 射击 / 模拟 / 角色扮演 / 冒险 / 策略,单机游戏，不是大航海时代。完成任务、打海盗、找宝藏、攻略城镇、倒卖货物、还要看各国的关系决定要不要去人家的领地弄不好就挑起战争了，最逗的是玩着玩着就娶了镇长的妻子，结果还一直没法陪在人家身边，啊，水手,https://img2.doubanio.com/lpic/s28272541.jpg
3,生化危机0 バイオハザード0,45,8.2,PC / PS4 / Xbox One / PS3 / Xbox 360 / NGC/GameCube / Nintendo Switch,464,游戏 / 冒险 / 动作,真·格子危机——比利：我不是人吗？瑞贝卡：少废话，赶快给我搬运！,https://img9.doubanio.com/lpic/s24612026.jpg
4,废土2 Wasteland 2,45,8.2,PC / Mac / PS4 / Xbox One / Nintendo Switch / Linux,184,游戏 / 角色扮演 / 冒险 / 策略,众筹里有我一个份子钱，最后送了我一个wasteland 1,https://img3.doubanio.com/lpic/s29723200.jpg
5,世界盒子 Worldbox,45,8.2,iPhone / iPad / Android,82,游戏 / 模拟 / 冒险,好玩，无拘无束的当个天神确实满足权力欲，希望以后能增加些事件，不要只能看小人们打打打。,https://img9.doubanio.com/lpic/s33704514.jpg
6,黑暗寓言14：盐公主回归  Dark Parables 14: Return of the Salt Princess,45,8.2,PC,22,游戏 / 冒险 / 动作,人物风格变美了，浓浓的日漫风。画面更加精致，音乐也特别好听。这部的故事也非常棒，虽然是俗套的反转剧，不过意外还有点小感动，可惜奖励剧情就很一般了，任性的女主和头顶一片绿的人类国王，浓浓的小言风。番外收集到的寓言一个是嫦娥奔月，一个是竹子姑娘，倒是挺有意思。,https://img1.doubanio.com/lpic/s29628577.jpg
7,囚禁之馆 わさびゲーム,45,8.2,PC / iPhone / Android,117,游戏 / 文字冒险 / 冒险 / 策略,又是一个手游版操作感无力吐槽的游戏,https://img2.doubanio.com/lpic/s32275493.jpg
8,残酷谎言：新娘 Grim Tales: The Bride,45,8.2,PC / Mac,104,游戏 / 冒险 / 益智,一路靠攻略下来的，这类游戏对我来说就是在欣赏画面,https://img9.doubanio.com/lpic/s29507824.jpg
